0	0	0	0	0
368	4	1	167	0
26	2	1	167	0
455	5	1	167	0
130	3	4	381	0
337	4	4	381	0
425	5	4	381	0
146	3	2	280	0
86	3	4	381	0
161	3	2	280	0
414	4	2	280	0
140	3	1	167	0
43	2	2	280	0
385	4	2	280	0
478	5	2	280	0
49	2	1	167	0
110	3	4	381	0
141	3	1	167	0
65	2	1	167	0
345	4	3	343	0
74	2	3	343	0
402	4	1	167	0
206	3	2	280	0
361	4	2	280	0
151	3	2	280	0
227	3	2	280	0
4	1	2	280	0
394	4	1	167	0
310	4	2	280	0
106	3	4	381	0
30	2	2	280	0
365	4	4	381	0
148	3	1	167	0
390	4	1	167	0
292	4	2	280	0
112	3	4	381	0
218	3	1	167	0
329	4	2	280	0
464	5	3	343	0
440	5	1	167	0
288	4	2	280	0
76	2	2	280	0
431	5	1	167	0
157	3	5	454	0
376	4	2	280	0
399	4	1	167	0
269	4	1	167	0
126	3	4	381	0
132	3	5	454	0
223	3	1	167	0
369	4	1	167	0
313	4	2	280	0
476	5	2	280	0
60	2	3	343	0
420	4	2	280	0
259	4	2	280	0
187	3	1	167	0
333	4	4	381	0
255	4	2	280	0
312	4	1	167	0
370	4	2	280	0
479	5	3	343	0
258	4	1	167	0
348	4	1	167	0
467	5	4	381	0
121	3	1	167	0
383	4	4	381	0
454	5	3	343	0
253	4	2	280	0
435	5	1	167	0
416	4	1	167	0
275	4	4	381	0
340	4	3	343	0
441	5	2	280	0
231	3	2	280	0
273	4	4	381	0
205	3	3	343	0
69	2	1	167	0
2	1	1	167	0
325	4	4	381	0
87	3	3	343	0
296	4	3	343	0
270	4	2	280	0
404	4	1	167	0
52	2	4	381	0
107	3	3	343	0
401	4	2	280	0
436	5	2	280	0
285	4	2	280	0
230	3	5	454	0
343	4	5	454	0
408	4	2	280	0
400	4	2	280	0
375	4	4	381	0
179	3	1	167	0
92	3	3	343	0
405	4	1	167	0
271	4	1	167	0
381	4	1	167	0
481	5	1	167	0
189	3	1	167	0
10	1	1	167	1
286	4	2	280	0
81	2	1	167	0
442	5	2	280	0
42	2	5	454	0
185	3	2	280	0
158	3	1	167	0
485	5	3	343	0
411	4	2	280	0
249	3	2	280	0
462	5	1	167	0
207	3	1	167	0
173	3	2	280	0
306	4	1	167	0
302	4	2	280	0
216	3	2	280	0
421	4	1	167	0
443	5	1	167	0
129	3	2	280	0
222	3	4	381	0
316	4	1	167	0
267	4	1	167	0
23	2	3	343	0
71	2	1	167	0
45	2	3	343	0
39	2	2	280	0
465	5	3	343	0
210	3	2	280	0
459	5	4	381	0
135	3	1	167	0
199	3	3	343	0
248	3	3	343	0
480	5	2	280	0
395	4	1	167	0
247	3	1	167	0
256	4	4	381	0
338	4	3	343	0
397	4	1	167	0
469	5	1	167	0
245	3	2	280	0
178	3	2	280	0
251	3	1	167	0
303	4	4	381	0
29	2	1	167	0
5	1	3	343	0
213	3	1	167	0
6	1	1	167	1
160	3	3	343	0
475	5	4	381	0
25	2	4	381	0
330	4	2	280	0
208	3	1	167	0
344	4	2	280	0
117	3	1	167	0
254	4	2	280	0
341	4	1	167	0
44	2	5	454	0
488	5	4	381	0
410	4	1	167	0
498	5	1	167	0
321	4	3	343	0
386	4	4	381	0
471	5	3	343	0
198	3	3	343	0
499	5	1	167	0
295	4	2	280	0
20	2	1	167	0
290	4	1	167	0
119	3	1	167	0
33	2	1	167	0
453	5	1	167	0
429	5	1	167	0
147	3	4	381	0
243	3	1	167	0
38	2	4	381	0
11	1	3	343	0
229	3	2	280	0
8	1	1	167	1
127	3	4	381	0
27	2	5	454	0
66	2	1	167	0
320	4	1	167	0
88	3	2	280	0
96	3	1	167	0
470	5	2	280	0
40	2	4	381	0
196	3	5	454	0
363	4	2	280	0
105	3	1	167	0
494	5	2	280	0
1	1	2	280	0
70	2	3	343	0
214	3	4	381	0
433	5	1	167	0
276	4	3	343	0
260	4	1	167	0
53	2	1	167	0
236	3	2	280	0
359	4	2	280	0
339	4	3	343	0
232	3	2	280	0
346	4	1	167	0
378	4	1	167	0
15	2	5	454	0
371	4	1	167	0
98	3	2	280	0
450	5	1	167	0
24	2	1	167	0
85	3	2	280	0
246	3	2	280	0
172	3	2	280	0
94	3	1	167	0
31	2	2	280	0
93	3	4	381	0
118	3	2	280	0
332	4	1	167	0
257	4	1	167	0
319	4	1	167	0
228	3	5	454	0
327	4	4	381	0
109	3	4	381	0
242	3	3	343	0
241	3	3	343	0
136	3	1	167	0
439	5	1	167	0
419	4	1	167	0
57	2	4	381	0
82	3	2	280	0
277	4	1	167	0
9	1	1	167	1
137	3	1	167	0
217	3	2	280	0
239	3	1	167	0
193	3	2	280	0
437	5	2	280	0
12	1	1	167	0
352	4	2	280	0
380	4	4	381	0
120	3	2	280	0
357	4	2	280	0
145	3	4	381	0
426	5	1	167	0
392	4	1	167	0
174	3	1	167	0
21	2	2	280	0
180	3	2	280	0
171	3	1	167	0
